iata,ciudad,fecha,t_max,t_min,precipitacion,viento,humedad
SLM,Salamanca,9/01/2024,7°,1.8°,"6,5 mm",22 Km/h,88.4 %
SLM,Salamanca,10/01/2024,8°,2.4°,"1,9 mm",22 Km/h,86.8 %
SLM,Salamanca,11/01/2024,6.6°,-0.2°,"0,4 mm",19 Km/h,82.4 %
SLM,Salamanca,12/01/2024,8.4°,-0.8°,0 mm,12.2 Km/h,71.4 %
SLM,Salamanca,13/01/2024,8.6°,0.2°,0 mm,9.6 Km/h,64 %
SLM,Salamanca,14/01/2024,9.4°,2°,"0,7 mm",17.2 Km/h,77.6 %
SLM,Salamanca,15/01/2024,8.4°,2.2°,"4,6 mm",16.4 Km/h,80.8 %
SLM,Salamanca,16/01/2024,10°,2.8°,"1,9 mm",20.8 Km/h,80.5 %
SLM,Salamanca,17/01/2024,8.4°,2.2°,2 mm,27 Km/h,74.4 %
SLM,Salamanca,18/01/2024,8°,1.4°,"2,7 mm",23.4 Km/h,75.8 %
SLM,Salamanca,19/01/2024,6.2°,-1°,"4,3 mm",27 Km/h,77.4 %
SLM,Salamanca,20/01/2024,6.2°,-0.8°,"0,2 mm",27.6 Km/h,81.8 %
SLM,Salamanca,21/01/2024,7°,1.2°,"2,1 mm",28.2 Km/h,79.6 %
SLM,Salamanca,22/01/2024,7.6°,0°,"1,1 mm",30 Km/h,77.2 %
SLM,Salamanca,23/01/2024,8.8°,0.6°,"0,4 mm",19 Km/h,78.2 %
SLM,Salamanca,24/01/2024,9.8°,2.8°,"0,2 mm",16.6 Km/h,75.8 %
SLM,Salamanca,25/01/2024,10°,2.6°,"1,1 mm",14.6 Km/h,78.8 %
SLM,Salamanca,26/01/2024,9.6°,2.8°,"0,4 mm",18.2 Km/h,81.2 %
SLM,Salamanca,27/01/2024,10.4°,3.8°,"0,5 mm",19.4 Km/h,80.4 %
SLM,Salamanca,28/01/2024,11.6°,3.4°,"0,1 mm",19.2 Km/h,72.4 %
SLM,Salamanca,29/01/2024,12.2°,3.6°,"0,1 mm",17.4 Km/h,70.6 %
SLM,Salamanca,30/01/2024,10°,2.2°,"0,7 mm",16.4 Km/h,67.8 %
SLM,Salamanca,31/01/2024,11.2°,2.6°,"0,1 mm",20 Km/h,75 %
SLM,Salamanca,1/02/2024,11.6°,4.2°,"0,4 mm",25.6 Km/h,80.4 %
SLM,Salamanca,2/02/2024,13.5°,4.3°,0 mm,19.8 Km/h,80.8 %
SLM,Salamanca,3/02/2024,13.6°,4.6°,"0,2 mm",15.8 Km/h,71.2 %
SLM,Salamanca,4/02/2024,12.6°,4°,4 mm,11 Km/h,70.2 %
SLM,Salamanca,5/02/2024,11.4°,2.6°,"1,6 mm",18 Km/h,72.4 %
SLM,Salamanca,6/02/2024,10.8°,2.2°,"1,3 mm",16.2 Km/h,73 %
SLM,Salamanca,7/02/2024,9.6°,0.6°,"0,2 mm",21 Km/h,75.8 %
SLM,Salamanca,8/02/2024,10.3°,2.8°,"2,5 mm",21.5 Km/h,80.5 %
SLM,Salamanca,9/02/2024,10.4°,1.2°,"8,3 mm",23.8 Km/h,78.2 %
SLM,Salamanca,10/02/2024,11°,2.6°,"0,9 mm",25.6 Km/h,75 %
SLM,Salamanca,11/02/2024,11.4°,2.6°,"1,4 mm",19.4 Km/h,76.4 %
SLM,Salamanca,12/02/2024,11°,3.6°,"0,5 mm",18.8 Km/h,78.2 %
SLM,Salamanca,13/02/2024,12.4°,3.8°,"0,1 mm",17 Km/h,80.2 %
SLM,Salamanca,14/02/2024,13.2°,4.2°,0 mm,13.2 Km/h,74.4 %
SLM,Salamanca,15/02/2024,12.6°,3.4°,"0,9 mm",17.4 Km/h,72.6 %
SLM,Salamanca,16/02/2024,12.8°,3.8°,"0,1 mm",21 Km/h,77.2 %
SLM,Salamanca,17/02/2024,13.6°,4°,"0,3 mm",18 Km/h,72.8 %
SLM,Salamanca,18/02/2024,13.2°,4°,"0,3 mm",18.2 Km/h,66.8 %
SLM,Salamanca,19/02/2024,12.2°,3.6°,0 mm,21.2 Km/h,68 %
SLM,Salamanca,20/02/2024,14°,3°,0 mm,14 Km/h,60.2 %
SLM,Salamanca,21/02/2024,13°,3°,"2,1 mm",19.4 Km/h,67.6 %
SLM,Salamanca,22/02/2024,12.8°,2.6°,"1,2 mm",21.8 Km/h,67.4 %
SLM,Salamanca,23/02/2024,10.8°,1.6°,"0,8 mm",17.8 Km/h,66 %
SLM,Salamanca,24/02/2024,11.4°,1°,"0,5 mm",14.4 Km/h,68.4 %
SLM,Salamanca,25/02/2024,9.8°,3°,"0,2 mm",21 Km/h,74 %
SLM,Salamanca,26/02/2024,10.2°,1.8°,"0,6 mm",20.4 Km/h,77.2 %
SLM,Salamanca,27/02/2024,10.4°,1.4°,0 mm,19 Km/h,67.4 %
SLM,Salamanca,28/02/2024,11.2°,0.4°,0 mm,17.6 Km/h,65.6 %
SLM,Salamanca,29/02/2024,10°,3.5°,"0,3 mm",34 Km/h,75.5 %
SLM,Salamanca,1/03/2024,10°,1.4°,"1,6 mm",20.4 Km/h,75.6 %
SLM,Salamanca,2/03/2024,10.6°,1.2°,3 mm,25.4 Km/h,77 %
SLM,Salamanca,3/03/2024,10°,1.4°,1 mm,23 Km/h,76.4 %
SLM,Salamanca,4/03/2024,11°,2.6°,"0,8 mm",21 Km/h,74 %
SLM,Salamanca,5/03/2024,10.2°,1.8°,"1,4 mm",22 Km/h,69.8 %
SLM,Salamanca,6/03/2024,9.8°,1.4°,"0,6 mm",20 Km/h,77 %
SLM,Salamanca,7/03/2024,10.6°,1.6°,"0,5 mm",19 Km/h,74.8 %
SLM,Salamanca,8/03/2024,9.6°,3.4°,"3,5 mm",29.2 Km/h,81.2 %
SLM,Salamanca,9/03/2024,11°,2.2°,"4,1 mm",23.6 Km/h,77 %
SLM,Salamanca,10/03/2024,13.8°,3.2°,"0,5 mm",22.2 Km/h,69.8 %
SLM,Salamanca,11/03/2024,13.8°,5.2°,"0,4 mm",24 Km/h,75.4 %
SLM,Salamanca,12/03/2024,14.6°,4.4°,"0,2 mm",15.8 Km/h,72.4 %
SLM,Salamanca,13/03/2024,13.8°,4.4°,"0,9 mm",20.6 Km/h,74.2 %
SLM,Salamanca,14/03/2024,12.2°,2.6°,0 mm,18.6 Km/h,75.2 %
SLM,Salamanca,15/03/2024,15°,3.6°,"0,2 mm",21.8 Km/h,69.8 %
SLM,Salamanca,16/03/2024,13°,3.8°,"4,2 mm",26 Km/h,75 %
SLM,Salamanca,17/03/2024,12.2°,4.4°,"3,7 mm",29 Km/h,78 %
SLM,Salamanca,18/03/2024,13.4°,4°,"0,4 mm",21.8 Km/h,75.6 %
SLM,Salamanca,19/03/2024,14.8°,4.2°,"0,8 mm",15.6 Km/h,69.8 %
SLM,Salamanca,20/03/2024,14.2°,3.6°,"1,9 mm",20 Km/h,70.2 %
SLM,Salamanca,21/03/2024,13.8°,4.4°,"0,3 mm",20.8 Km/h,73.6 %
SLM,Salamanca,22/03/2024,16°,5°,"0,6 mm",15.4 Km/h,68 %
SLM,Salamanca,23/03/2024,14.8°,4.6°,"0,4 mm",21.8 Km/h,67.6 %
SLM,Salamanca,24/03/2024,15.2°,4.8°,"0,2 mm",21.8 Km/h,66 %
SLM,Salamanca,25/03/2024,14.6°,3.6°,"0,5 mm",21.6 Km/h,72 %
SLM,Salamanca,26/03/2024,11.2°,2.4°,"1,5 mm",21.8 Km/h,67.6 %
SLM,Salamanca,27/03/2024,14.6°,1°,"0,9 mm",21.6 Km/h,66.8 %
SLM,Salamanca,28/03/2024,16°,3.4°,"0,8 mm",22 Km/h,63.8 %
SLM,Salamanca,29/03/2024,15.2°,4.8°,"2,9 mm",22.2 Km/h,67.2 %
SLM,Salamanca,30/03/2024,13°,5.2°,"1,2 mm",25 Km/h,69 %
SLM,Salamanca,31/03/2024,13°,4°,"3,6 mm",27.4 Km/h,71.8 %
SLM,Salamanca,1/04/2024,11.6°,3.6°,"2,2 mm",23.4 Km/h,70.4 %
SLM,Salamanca,2/04/2024,12.4°,1.8°,"3,3 mm",18.8 Km/h,71.2 %
SLM,Salamanca,3/04/2024,13.6°,1.8°,"0,1 mm",20.8 Km/h,68 %
SLM,Salamanca,4/04/2024,15.2°,1.2°,0 mm,23.2 Km/h,62.4 %
SLM,Salamanca,5/04/2024,16°,2°,"0,3 mm",20.4 Km/h,58.6 %
SLM,Salamanca,6/04/2024,16.8°,5.4°,4 mm,17.8 Km/h,58 %
SLM,Salamanca,7/04/2024,17.2°,4.4°,1 mm,16.8 Km/h,64.2 %
SLM,Salamanca,8/04/2024,16.2°,5.2°,"1,7 mm",19.4 Km/h,66.2 %
SLM,Salamanca,9/04/2024,17°,6°,"0,7 mm",17.2 Km/h,67.6 %
SLM,Salamanca,10/04/2024,17.8°,6°,"0,7 mm",17.8 Km/h,67.6 %
SLM,Salamanca,11/04/2024,17.4°,6.4°,"2,5 mm",22.4 Km/h,75.2 %
SLM,Salamanca,12/04/2024,15.8°,5°,"4,1 mm",18.4 Km/h,71.2 %
SLM,Salamanca,13/04/2024,15.8°,4.2°,"3,3 mm",15.2 Km/h,69 %
SLM,Salamanca,14/04/2024,19°,6.2°,"0,5 mm",16 Km/h,69.6 %
SLM,Salamanca,15/04/2024,18.8°,7.8°,"0,5 mm",17.8 Km/h,70.4 %
SLM,Salamanca,16/04/2024,17°,5°,"1,5 mm",18.8 Km/h,64.2 %
SLM,Salamanca,17/04/2024,17°,3.6°,"0,1 mm",16.2 Km/h,60.2 %
SLM,Salamanca,18/04/2024,17.6°,3°,"0,2 mm",14.2 Km/h,60.8 %
SLM,Salamanca,19/04/2024,16°,5.2°,"2,6 mm",16.8 Km/h,66.2 %
SLM,Salamanca,20/04/2024,16.6°,4.6°,"0,4 mm",22.6 Km/h,65 %
SLM,Salamanca,21/04/2024,15.6°,3.8°,"4,3 mm",22.8 Km/h,71.2 %
SLM,Salamanca,22/04/2024,13.8°,3.8°,"1,2 mm",18 Km/h,71.8 %
SLM,Salamanca,23/04/2024,16°,3.4°,"0,8 mm",16.4 Km/h,68.2 %
SLM,Salamanca,24/04/2024,17.4°,5.4°,"0,8 mm",17.2 Km/h,69 %
SLM,Salamanca,25/04/2024,17°,6.8°,"3,8 mm",13.8 Km/h,69 %
SLM,Salamanca,26/04/2024,16.8°,6.8°,"1,6 mm",21.4 Km/h,73.6 %
SLM,Salamanca,27/04/2024,17.8°,7.5°,"4,6 mm",15.5 Km/h,70.8 %
SLM,Salamanca,28/04/2024,16°,7.8°,"3,9 mm",18 Km/h,74.3 %
SLM,Salamanca,29/04/2024,17.8°,6°,"1,1 mm",19.7 Km/h,68.3 %
SLM,Salamanca,30/04/2024,17.8°,6.7°,"0,6 mm",16.8 Km/h,69.2 %
SLM,Salamanca,1/05/2024,17.7°,6.3°,1 mm,19.7 Km/h,68.5 %
SLM,Salamanca,2/05/2024,17.7°,5.3°,"0,7 mm",18 Km/h,67 %
SLM,Salamanca,3/05/2024,19.3°,5.8°,0 mm,20.7 Km/h,62.3 %
SLM,Salamanca,4/05/2024,20.7°,6.8°,"0,1 mm",22 Km/h,62.5 %
SLM,Salamanca,5/05/2024,19.8°,6.2°,"0,7 mm",18.2 Km/h,64.8 %
SLM,Salamanca,6/05/2024,20°,6.7°,"0,1 mm",19.3 Km/h,61.5 %
SLM,Salamanca,7/05/2024,21.5°,6.8°,"0,3 mm",16.5 Km/h,62.2 %
SLM,Salamanca,8/05/2024,21.5°,8.3°,"3,1 mm",20.8 Km/h,59.2 %
SLM,Salamanca,9/05/2024,19°,8°,"1,4 mm",21.5 Km/h,64.7 %
SLM,Salamanca,10/05/2024,20°,8°,2 mm,20.3 Km/h,63.5 %
SLM,Salamanca,11/05/2024,20°,6.8°,"1,2 mm",20.3 Km/h,63.3 %
SLM,Salamanca,12/05/2024,19°,7.3°,"0,8 mm",22.2 Km/h,64.5 %
SLM,Salamanca,13/05/2024,19.8°,6.2°,"3,4 mm",22.8 Km/h,65.5 %
SLM,Salamanca,14/05/2024,18.7°,7°,"2,6 mm",20 Km/h,65.5 %
SLM,Salamanca,15/05/2024,19.2°,7.5°,"0,6 mm",23.7 Km/h,61.8 %
SLM,Salamanca,16/05/2024,19.5°,6.2°,"0,1 mm",25.3 Km/h,64.2 %
SLM,Salamanca,17/05/2024,19.3°,5.3°,"0,6 mm",22.8 Km/h,63.5 %
SLM,Salamanca,18/05/2024,19.7°,5.5°,"0,1 mm",19.7 Km/h,59.3 %
SLM,Salamanca,19/05/2024,20.2°,6.5°,"0,6 mm",18.2 Km/h,59.2 %
SLM,Salamanca,20/05/2024,21.7°,7.2°,"0,2 mm",15.2 Km/h,54.7 %
SLM,Salamanca,21/05/2024,23°,9.3°,"0,3 mm",20 Km/h,52.5 %
SLM,Salamanca,22/05/2024,21.7°,8.7°,"0,2 mm",19.7 Km/h,57.7 %
SLM,Salamanca,23/05/2024,22.3°,8.5°,"0,2 mm",18 Km/h,58.7 %
SLM,Salamanca,24/05/2024,21.2°,7.5°,"0,8 mm",20.8 Km/h,63 %
SLM,Salamanca,25/05/2024,22°,7°,"3,8 mm",24 Km/h,60.3 %
SLM,Salamanca,26/05/2024,23.5°,7.7°,"3,9 mm",21.8 Km/h,60.7 %
SLM,Salamanca,27/05/2024,24.8°,9.7°,"1,5 mm",18.5 Km/h,58.5 %
SLM,Salamanca,28/05/2024,25.2°,10.7°,"1,7 mm",15 Km/h,55.8 %
SLM,Salamanca,29/05/2024,25.8°,11°,"2,2 mm",15.5 Km/h,54.2 %
SLM,Salamanca,30/05/2024,26.2°,11.8°,"4,3 mm",17.8 Km/h,54 %
SLM,Salamanca,31/05/2024,26.7°,11.8°,"4,2 mm",21 Km/h,53.8 %
SLM,Salamanca,1/06/2024,24.8°,11.3°,"5,8 mm",21.2 Km/h,57 %
SLM,Salamanca,2/06/2024,25.3°,11°,"0,7 mm",19.7 Km/h,54.2 %
SLM,Salamanca,3/06/2024,25.2°,10.8°,"2,1 mm",21.2 Km/h,54.7 %
SLM,Salamanca,4/06/2024,23.3°,10.3°,"0,4 mm",22.2 Km/h,58.8 %
SLM,Salamanca,5/06/2024,23.8°,9.5°,1 mm,19.8 Km/h,55.7 %
SLM,Salamanca,6/06/2024,25.5°,10.8°,"2,5 mm",23 Km/h,53 %
SLM,Salamanca,7/06/2024,24.3°,11.5°,"2,1 mm",20 Km/h,58.2 %
SLM,Salamanca,8/06/2024,24.3°,10.7°,"1,7 mm",20.8 Km/h,55 %
SLM,Salamanca,9/06/2024,23.8°,10.8°,"0,3 mm",20.5 Km/h,56.2 %
SLM,Salamanca,10/06/2024,25.5°,11.3°,"0,2 mm",18 Km/h,49 %
SLM,Salamanca,11/06/2024,24.2°,10°,"1,1 mm",24.5 Km/h,54.5 %
SLM,Salamanca,12/06/2024,24.7°,10°,"2,2 mm",24.8 Km/h,55.3 %
SLM,Salamanca,13/06/2024,26°,11.2°,2 mm,21.5 Km/h,50.7 %
SLM,Salamanca,14/06/2024,26.5°,12.3°,"0,2 mm",22.3 Km/h,48.3 %
SLM,Salamanca,15/06/2024,27°,11.7°,"0,2 mm",16.2 Km/h,48.5 %
SLM,Salamanca,16/06/2024,28.7°,13.2°,"0,1 mm",22.8 Km/h,45.5 %
SLM,Salamanca,17/06/2024,28.2°,13.3°,"0,2 mm",24.7 Km/h,47 %
SLM,Salamanca,18/06/2024,25°,13.8°,"2,9 mm",26.8 Km/h,52.2 %
SLM,Salamanca,19/06/2024,23.2°,10.8°,"1,2 mm",20 Km/h,57.8 %
SLM,Salamanca,20/06/2024,22.6°,10.4°,"1,5 mm",22.4 Km/h,58 %
SLM,Salamanca,21/06/2024,23.7°,10.2°,"1,6 mm",20.8 Km/h,58 %
SLM,Salamanca,22/06/2024,25.5°,11.5°,"0,2 mm",18.3 Km/h,51.7 %
SLM,Salamanca,23/06/2024,26.8°,13.7°,"0,2 mm",21.2 Km/h,47.5 %
SLM,Salamanca,24/06/2024,28.8°,13.7°,"0,5 mm",19.5 Km/h,49.2 %
SLM,Salamanca,25/06/2024,29.7°,15.2°,"0,3 mm",23.2 Km/h,46 %
SLM,Salamanca,26/06/2024,28.8°,13.8°,"0,2 mm",24.3 Km/h,43.8 %
SLM,Salamanca,27/06/2024,28.7°,13.5°,"0,1 mm",20.2 Km/h,50.2 %
SLM,Salamanca,28/06/2024,29°,13°,2 mm,20 Km/h,50.3 %
SLM,Salamanca,29/06/2024,29.3°,14.5°,"2,1 mm",21.2 Km/h,48.7 %
SLM,Salamanca,30/06/2024,28.8°,13.5°,"0,1 mm",20 Km/h,47.8 %
SLM,Salamanca,1/07/2024,29.5°,13.7°,0 mm,18.5 Km/h,46.2 %
SLM,Salamanca,2/07/2024,31°,14.2°,"4,9 mm",20.5 Km/h,43.2 %
SLM,Salamanca,3/07/2024,30.5°,15°,"0,5 mm",22 Km/h,41.5 %
SLM,Salamanca,4/07/2024,31.2°,14.2°,"0,4 mm",20.3 Km/h,39.3 %
SLM,Salamanca,5/07/2024,32.3°,15.5°,0 mm,25 Km/h,36.8 %
SLM,Salamanca,6/07/2024,29.8°,14.7°,"0,1 mm",24 Km/h,45.2 %
SLM,Salamanca,7/07/2024,29.8°,12.3°,0 mm,21.3 Km/h,42.2 %
SLM,Salamanca,8/07/2024,29.8°,13.3°,"2,5 mm",21.7 Km/h,40.8 %
SLM,Salamanca,9/07/2024,30.8°,14.2°,"0,3 mm",18.8 Km/h,41.7 %
SLM,Salamanca,10/07/2024,33.7°,15.7°,0 mm,20.2 Km/h,34.8 %
SLM,Salamanca,11/07/2024,34.5°,17.7°,0 mm,23 Km/h,32.3 %
SLM,Salamanca,12/07/2024,32.4°,18.2°,"0,8 mm",20.2 Km/h,33 %
SLM,Salamanca,13/07/2024,31.2°,15.8°,"0,7 mm",19 Km/h,40.3 %
SLM,Salamanca,14/07/2024,31.3°,15.5°,"0,5 mm",23.3 Km/h,34.8 %
SLM,Salamanca,15/07/2024,30.5°,15.8°,"0,1 mm",23.3 Km/h,41 %
SLM,Salamanca,16/07/2024,32.3°,14.8°,0 mm,20.3 Km/h,36.2 %
SLM,Salamanca,17/07/2024,34.7°,16.5°,0 mm,21.2 Km/h,29.3 %
SLM,Salamanca,18/07/2024,35.3°,17.2°,0 mm,24.2 Km/h,28.3 %
SLM,Salamanca,19/07/2024,34.5°,17°,0 mm,22.2 Km/h,27.7 %
SLM,Salamanca,20/07/2024,33°,16.3°,0 mm,20 Km/h,34.2 %
SLM,Salamanca,21/07/2024,33.3°,15.5°,"0,7 mm",18.3 Km/h,39.5 %
SLM,Salamanca,22/07/2024,33.7°,16.8°,"0,7 mm",19 Km/h,34.3 %
SLM,Salamanca,23/07/2024,33°,17.8°,"0,4 mm",22.2 Km/h,33.8 %
SLM,Salamanca,24/07/2024,32.5°,16.7°,"0,1 mm",22.7 Km/h,37.2 %
SLM,Salamanca,25/07/2024,31.7°,15.3°,0 mm,20.2 Km/h,37.7 %
SLM,Salamanca,26/07/2024,31.5°,14.3°,"0,3 mm",16.8 Km/h,41.2 %
SLM,Salamanca,27/07/2024,31.7°,16°,0 mm,23.5 Km/h,36 %
SLM,Salamanca,28/07/2024,32.3°,14.8°,0 mm,20.3 Km/h,40.5 %
SLM,Salamanca,29/07/2024,32.8°,16°,"0,4 mm",26.5 Km/h,40.5 %
SLM,Salamanca,30/07/2024,33.2°,16°,"0,3 mm",24.7 Km/h,36.5 %
SLM,Salamanca,31/07/2024,32.2°,15.7°,0 mm,19.8 Km/h,37.5 %
SLM,Salamanca,1/08/2024,32.5°,15.2°,0 mm,19.2 Km/h,36.3 %
SLM,Salamanca,2/08/2024,31.7°,15.8°,0 mm,20.5 Km/h,39 %
SLM,Salamanca,3/08/2024,31.7°,15.5°,0 mm,21.5 Km/h,35 %
SLM,Salamanca,4/08/2024,31.5°,15°,0 mm,19.2 Km/h,35.5 %
SLM,Salamanca,5/08/2024,33.8°,15.7°,0 mm,20 Km/h,31.8 %
SLM,Salamanca,6/08/2024,33.3°,15.7°,0 mm,22.3 Km/h,35.3 %
SLM,Salamanca,7/08/2024,32°,15.8°,"0,1 mm",20.8 Km/h,36.7 %
SLM,Salamanca,8/08/2024,34.3°,16.5°,0 mm,21 Km/h,34.5 %
SLM,Salamanca,9/08/2024,34.7°,18.2°,0 mm,22.8 Km/h,33.2 %
SLM,Salamanca,10/08/2024,33.7°,17.2°,"0,1 mm",20 Km/h,31 %
SLM,Salamanca,11/08/2024,32.8°,17.7°,"0,4 mm",23.7 Km/h,31.5 %
SLM,Salamanca,12/08/2024,31.8°,16.5°,"0,5 mm",21.2 Km/h,36.2 %
SLM,Salamanca,13/08/2024,31.8°,16°,"0,3 mm",22.2 Km/h,37.7 %
SLM,Salamanca,14/08/2024,32°,15.8°,0 mm,22.2 Km/h,31.5 %
SLM,Salamanca,15/08/2024,30.7°,14.3°,0 mm,21.2 Km/h,35.7 %
SLM,Salamanca,16/08/2024,29.7°,13.3°,0 mm,19.3 Km/h,37.5 %
SLM,Salamanca,17/08/2024,29.7°,14°,0 mm,23.3 Km/h,41.2 %
SLM,Salamanca,18/08/2024,29.2°,13.8°,0 mm,19.5 Km/h,48 %
SLM,Salamanca,19/08/2024,31.2°,14.3°,0 mm,20.3 Km/h,41.2 %
SLM,Salamanca,20/08/2024,32°,15.5°,0 mm,21.7 Km/h,37.7 %
SLM,Salamanca,21/08/2024,31.7°,16°,"0,1 mm",19 Km/h,41.5 %
SLM,Salamanca,22/08/2024,33°,16.2°,"0,1 mm",16.8 Km/h,34.7 %
SLM,Salamanca,23/08/2024,33.7°,16.7°,"0,1 mm",19 Km/h,33.7 %
SLM,Salamanca,24/08/2024,33.7°,17.5°,0 mm,20.5 Km/h,32.2 %
SLM,Salamanca,25/08/2024,30.7°,16.3°,"1,3 mm",21.8 Km/h,41.3 %
SLM,Salamanca,26/08/2024,29.5°,15.2°,"2,5 mm",19.2 Km/h,46.2 %
SLM,Salamanca,27/08/2024,30.3°,15.5°,"0,2 mm",17 Km/h,41 %
SLM,Salamanca,28/08/2024,30.2°,15.8°,0 mm,18.3 Km/h,38.5 %
SLM,Salamanca,29/08/2024,27.8°,13.6°,0 mm,18.8 Km/h,43 %
SLM,Salamanca,30/08/2024,27.8°,13.7°,0 mm,15.2 Km/h,40.8 %
SLM,Salamanca,31/08/2024,29.7°,14.3°,0 mm,15.3 Km/h,35.2 %
SLM,Salamanca,1/09/2024,28.2°,15°,"0,6 mm",20.2 Km/h,42.3 %
SLM,Salamanca,2/09/2024,26.8°,13°,"0,5 mm",20.7 Km/h,51.2 %
SLM,Salamanca,3/09/2024,27°,13.3°,16 mm,20.8 Km/h,51.7 %
SLM,Salamanca,4/09/2024,27.7°,14.5°,"12,9 mm",20.3 Km/h,43.2 %
SLM,Salamanca,5/09/2024,27.5°,13.8°,0 mm,18 Km/h,43.8 %
SLM,Salamanca,6/09/2024,26.5°,13°,0 mm,20.5 Km/h,48.2 %
SLM,Salamanca,7/09/2024,25.5°,11.7°,0 mm,23.3 Km/h,48.5 %
SLM,Salamanca,8/09/2024,25.3°,11.7°,"0,4 mm",19.3 Km/h,51.3 %
SLM,Salamanca,9/09/2024,26.2°,12.8°,"0,2 mm",15.7 Km/h,47.5 %
SLM,Salamanca,10/09/2024,26.2°,12.7°,0 mm,18.7 Km/h,48.8 %
SLM,Salamanca,11/09/2024,26°,12°,0 mm,20.2 Km/h,45.2 %
SLM,Salamanca,12/09/2024,26.7°,14°,0 mm,18.8 Km/h,47.8 %
SLM,Salamanca,13/09/2024,25°,14.7°,"0,1 mm",23 Km/h,47.3 %
SLM,Salamanca,14/09/2024,24.2°,13.5°,"0,6 mm",19.3 Km/h,56.7 %
SLM,Salamanca,15/09/2024,24.5°,13.7°,2 mm,14 Km/h,56.5 %
SLM,Salamanca,16/09/2024,24.3°,13.7°,"1,7 mm",15.8 Km/h,53.7 %
SLM,Salamanca,17/09/2024,23.8°,13.3°,"0,6 mm",22 Km/h,51.8 %
SLM,Salamanca,18/09/2024,23.7°,12.8°,"3,2 mm",17.2 Km/h,53.2 %
SLM,Salamanca,19/09/2024,23.7°,13.2°,"0,7 mm",16 Km/h,50.7 %
SLM,Salamanca,20/09/2024,22.4°,13.4°,2 mm,22 Km/h,57.2 %
SLM,Salamanca,21/09/2024,20.7°,12°,1 mm,22.2 Km/h,59 %
SLM,Salamanca,22/09/2024,21.2°,10.7°,"0,2 mm",19.3 Km/h,59.3 %
SLM,Salamanca,23/09/2024,22.5°,11°,"0,8 mm",17.3 Km/h,56.3 %
SLM,Salamanca,24/09/2024,22.4°,12°,"0,4 mm",20.2 Km/h,55.2 %
SLM,Salamanca,25/09/2024,20.7°,10.3°,"0,2 mm",21 Km/h,57.7 %
SLM,Salamanca,26/09/2024,21.3°,9.8°,"0,8 mm",18.7 Km/h,56.5 %
SLM,Salamanca,27/09/2024,21.7°,10.8°,0 mm,16 Km/h,51 %
SLM,Salamanca,28/09/2024,22.5°,10°,0 mm,16.7 Km/h,49 %
SLM,Salamanca,29/09/2024,23.5°,10.8°,0 mm,15.5 Km/h,43.2 %
SLM,Salamanca,30/09/2024,24.7°,11.5°,0 mm,15.5 Km/h,44.7 %
SLM,Salamanca,1/10/2024,23.7°,13.2°,0 mm,17.3 Km/h,49.2 %
SLM,Salamanca,2/10/2024,23°,11.8°,"2,5 mm",25.3 Km/h,54.7 %
SLM,Salamanca,3/10/2024,21.5°,11.3°,"0,9 mm",20.7 Km/h,51.7 %
SLM,Salamanca,4/10/2024,21.7°,10.8°,"0,1 mm",14.7 Km/h,56.8 %
SLM,Salamanca,5/10/2024,23.7°,11.7°,0 mm,15.5 Km/h,54.5 %
SLM,Salamanca,6/10/2024,23.8°,11.7°,"0,2 mm",18.3 Km/h,56.3 %
SLM,Salamanca,7/10/2024,23°,11.8°,"5,1 mm",14.8 Km/h,50 %
SLM,Salamanca,8/10/2024,23.8°,12.7°,"0,1 mm",15.5 Km/h,46.5 %
SLM,Salamanca,9/10/2024,22.8°,12.5°,"0,3 mm",19.2 Km/h,50.2 %
SLM,Salamanca,10/10/2024,21.8°,10.8°,"0,1 mm",16.3 Km/h,54 %
SLM,Salamanca,11/10/2024,21.3°,10.8°,"0,2 mm",15.2 Km/h,48.2 %
SLM,Salamanca,12/10/2024,22°,10.8°,"1,7 mm",17.5 Km/h,54 %
SLM,Salamanca,13/10/2024,21.3°,10.3°,"1,1 mm",18.7 Km/h,55.8 %
SLM,Salamanca,14/10/2024,19.7°,9.5°,3 mm,16.3 Km/h,60.3 %
SLM,Salamanca,15/10/2024,18.8°,9.7°,"0,9 mm",17.8 Km/h,59.8 %
SLM,Salamanca,16/10/2024,18.5°,9.2°,"4,3 mm",21.5 Km/h,64.2 %
SLM,Salamanca,17/10/2024,18.7°,10.5°,"2,2 mm",22.7 Km/h,65.8 %
SLM,Salamanca,18/10/2024,19.5°,9.7°,"1,4 mm",19.7 Km/h,65 %
SLM,Salamanca,19/10/2024,19.5°,10.5°,"6,2 mm",29.5 Km/h,66.7 %
SLM,Salamanca,20/10/2024,16.3°,10°,"3,4 mm",29.8 Km/h,74.3 %
SLM,Salamanca,21/10/2024,16.3°,8.7°,"0,9 mm",18.8 Km/h,70.7 %
SLM,Salamanca,22/10/2024,16.5°,7.5°,"1,9 mm",22.3 Km/h,69 %
SLM,Salamanca,23/10/2024,14.7°,8°,"10,8 mm",24.2 Km/h,76.3 %
SLM,Salamanca,24/10/2024,17.5°,7°,1 mm,17.3 Km/h,68.2 %
SLM,Salamanca,25/10/2024,16.2°,8.3°,"0,6 mm",24.2 Km/h,68.2 %
SLM,Salamanca,26/10/2024,15.7°,7.2°,"1,1 mm",20 Km/h,68.8 %
