iata,ciudad,fecha,t_max,t_min,precipitacion,viento,humedad
LCG,A Coruña,30/05/2024,19.7°,13.5°,"1,6 mm",18.3 Km/h,80.7 %
LCG,A Coruña,31/05/2024,21°,13.7°,"1,8 mm",16 Km/h,77.8 %
LCG,A Coruña,1/06/2024,20°,13.7°,"2,7 mm",19.3 Km/h,79.2 %
LCG,A Coruña,2/06/2024,19.2°,13.8°,4 mm,18.3 Km/h,81.5 %
LCG,A Coruña,3/06/2024,18.5°,13°,"1,1 mm",17.2 Km/h,81.8 %
LCG,A Coruña,4/06/2024,17.8°,12.7°,"2,1 mm",17.8 Km/h,82.7 %
LCG,A Coruña,5/06/2024,17.7°,12.5°,"2,7 mm",15.3 Km/h,78.5 %
LCG,A Coruña,6/06/2024,18.2°,12.8°,"4,3 mm",25.3 Km/h,81.3 %
LCG,A Coruña,7/06/2024,17.5°,12.3°,"6,2 mm",22.5 Km/h,80.2 %
LCG,A Coruña,8/06/2024,17.3°,12.7°,"4,5 mm",18.3 Km/h,84.3 %
LCG,A Coruña,9/06/2024,17.7°,12.5°,6 mm,19.7 Km/h,80.3 %
LCG,A Coruña,10/06/2024,17.7°,12.5°,"1,4 mm",21 Km/h,81.5 %
LCG,A Coruña,11/06/2024,17.3°,12.5°,"2,7 mm",24.7 Km/h,81 %
LCG,A Coruña,12/06/2024,18.5°,12.8°,7 mm,24.8 Km/h,79.8 %
LCG,A Coruña,13/06/2024,19.3°,12.3°,"4,5 mm",18.8 Km/h,81.7 %
LCG,A Coruña,14/06/2024,18.8°,12.7°,"1,3 mm",16.8 Km/h,82.8 %
LCG,A Coruña,15/06/2024,19.3°,13°,"0,9 mm",18.8 Km/h,80.2 %
LCG,A Coruña,16/06/2024,19°,14°,"3,5 mm",14.7 Km/h,82.8 %
LCG,A Coruña,17/06/2024,18.5°,13.8°,"5,2 mm",15.2 Km/h,86.3 %
LCG,A Coruña,18/06/2024,18.3°,12.3°,"9,7 mm",17.2 Km/h,85.2 %
LCG,A Coruña,19/06/2024,16.6°,13.4°,"2,6 mm",17.6 Km/h,87.6 %
LCG,A Coruña,20/06/2024,16.2°,12.2°,"5,4 mm",19.4 Km/h,86.4 %
LCG,A Coruña,21/06/2024,17.8°,13°,"3,4 mm",17 Km/h,83.8 %
LCG,A Coruña,22/06/2024,19.2°,13.7°,"3,3 mm",12.5 Km/h,84.2 %
LCG,A Coruña,23/06/2024,19.8°,14.5°,"2,5 mm",16.7 Km/h,83 %
LCG,A Coruña,24/06/2024,20.5°,14.7°,"0,4 mm",17.2 Km/h,83.3 %
LCG,A Coruña,25/06/2024,19.5°,14.7°,"0,5 mm",15.2 Km/h,83.2 %
LCG,A Coruña,26/06/2024,18.5°,14.2°,"1,9 mm",19.5 Km/h,85.5 %
LCG,A Coruña,27/06/2024,18.5°,14°,"1,2 mm",18.5 Km/h,81.2 %
LCG,A Coruña,28/06/2024,19.3°,13.5°,"1,9 mm",19.7 Km/h,83.2 %
LCG,A Coruña,29/06/2024,18°,13.8°,"1,7 mm",17.3 Km/h,81.5 %
LCG,A Coruña,30/06/2024,18.2°,13.3°,"0,3 mm",16 Km/h,81.2 %
LCG,A Coruña,1/07/2024,19.3°,13.8°,"0,4 mm",19.7 Km/h,83 %
LCG,A Coruña,2/07/2024,19.2°,14.7°,"0,4 mm",22.8 Km/h,80.7 %
LCG,A Coruña,3/07/2024,20°,14.5°,"0,6 mm",21.5 Km/h,81.7 %
LCG,A Coruña,4/07/2024,20.7°,15.2°,"1,4 mm",20.7 Km/h,82.5 %
LCG,A Coruña,5/07/2024,20.7°,15.3°,"2,1 mm",21.5 Km/h,84.7 %
LCG,A Coruña,6/07/2024,19.7°,14.7°,"0,9 mm",22.3 Km/h,79.5 %
LCG,A Coruña,7/07/2024,21.2°,14°,"0,7 mm",22 Km/h,77.2 %
LCG,A Coruña,8/07/2024,21.2°,14.8°,2 mm,25 Km/h,79.3 %
LCG,A Coruña,9/07/2024,22°,15°,"0,5 mm",21.2 Km/h,80.3 %
LCG,A Coruña,10/07/2024,22.2°,15.3°,"0,1 mm",16.3 Km/h,79.7 %
LCG,A Coruña,11/07/2024,21.8°,15.8°,"0,5 mm",18.8 Km/h,79.8 %
LCG,A Coruña,12/07/2024,23.7°,17°,"0,9 mm",22 Km/h,71 %
LCG,A Coruña,13/07/2024,21.7°,15°,"1,2 mm",19.7 Km/h,75.5 %
LCG,A Coruña,14/07/2024,22.3°,15.8°,"1,4 mm",24.8 Km/h,76.5 %
LCG,A Coruña,15/07/2024,22°,15.6°,"1,4 mm",24.8 Km/h,76.6 %
LCG,A Coruña,16/07/2024,21.7°,15.3°,"0,2 mm",20.3 Km/h,74.8 %
LCG,A Coruña,17/07/2024,23°,15.3°,"0,1 mm",20.2 Km/h,75.8 %
LCG,A Coruña,18/07/2024,22.8°,15.8°,"0,1 mm",15 Km/h,76 %
LCG,A Coruña,19/07/2024,22°,16.2°,0 mm,17.3 Km/h,81.2 %
LCG,A Coruña,20/07/2024,20.7°,16°,"0,5 mm",18 Km/h,84.7 %
LCG,A Coruña,21/07/2024,21.3°,15.2°,"0,1 mm",22 Km/h,82.2 %
LCG,A Coruña,22/07/2024,21.6°,15.6°,"0,3 mm",19.6 Km/h,81.8 %
LCG,A Coruña,23/07/2024,21.2°,15.8°,"0,6 mm",21.2 Km/h,83 %
LCG,A Coruña,24/07/2024,21.2°,15.4°,1 mm,17.8 Km/h,81 %
LCG,A Coruña,25/07/2024,20.7°,15.3°,"0,7 mm",14.5 Km/h,83 %
LCG,A Coruña,26/07/2024,21°,15.7°,"0,7 mm",15.5 Km/h,84 %
LCG,A Coruña,27/07/2024,20.7°,15.7°,"3,9 mm",18.7 Km/h,82.2 %
